n	S21	
n	U	
n	S25	
o	S2	 -їв	 -єва	 -єве	 -єві	 -євого	 -євої	 -євого	 -євих	 -євому	 -євій	 -євому	 -євим	 -їв, -євого	 -єву	 -єве	 -єві, -євих	 -євим	 -євою	 -євим	 -євими	на/в -євому, -євім	на/в -євій	на/в -євому, -євім	на/в -євих	
o	S2	 -	 -а	 -е	 -і	 -ого	 -ої	 -ого	 -их	 -ому	 -ій	 -ому	 -им	 -, -ого	 -у	 -е	 -і, -их	 -им	 -ою	 -им	 -ими	на/в -ому, -ім	на/в -ій	на/в -ому, -ім	на/в -их	
o	S28	 -ий	 -а	 -і	 -ого	 -ої	 -их	 -ому	 -ій	 -им	 -ого	 -у	 -их	 -им	 -ою	 -ими	при -ому, -ім	при -ій	при -их	 -ий	 -а	 -і	
o	S1/ma	 -ь	 -і	 -я	 -ів	 -еві, -ю	 -ям	 -я	 -ів	 -ем	 -ями	на/в -еві, -ю, -і	на/в -ях	 -ю	 -і	
o	S1/f	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	на/в -	на/в -	 -	 -	
o	S1/ma	 -й	 -ї	 -я	 -їв	 -єві, -ю	 -ям	 -я	 -їв	 -єм	 -ями	на/в -єві, -ї, -ю	на/в -ях	 -ю	 -ї	
o	S1/n	 -о		 -а		 -у		 -о		 -ом		на/в -і		 -о		
o	S1/f	 -ья	 -ьї	 -ьї	 -ей	 -ьї	 -ьям	 -ью	 -ьї	 -ьєю	 -ьями	на/в -ьї	на/в -ьях	 -ьє	 -ьї	
o	S1/m	 -ін	 -они	 -ону	 -онів	 -ону, -онові	 -онам	 -ін	 -они	 -оном	 -онами	на/в -оні	на/в -онах	 -оне	 -они	
o	S1/m	 -ок		 -ку		 -ку, -кові		 -ок		 -ком		на/в -ку		 -ку		
o	S1/n	 -ня	 -ня	 -ня	 -ь	 -ню	 -ням	 -ня	 -ня	 -ням	 -нями	на/в -ні, -ню	на/в -нях	 -ня	 -ня	
o	S1/m	 -ок	 -ки	 -ка	 -ків	 -ку, -кові	 -кам	 -ок	 -ки	 -ком	 -ками	на/в -ку, -кові	на/в -ках	 -ку	 -ки	
o	S1/m	 -	 -і	 -у	 -ів	 -у, -еві	 -ам	 -	 -і	 -ем	 -ами	на/в -і, -у	на/в -ах	 -е	 -і	
o	S1/m	 -ь		 -ю		 -ю, -еві		 -ь		 -ем		на/в -і, -ю		 -ю		
o	S1/f	 -ня	 -ні	 -ні	 -ень	 -ні	 -ням	 -ню	 -ні	 -нею	 -нями	на/в -ні	на/в -нях	 -не	 -ні	
o	S1/m	 -ець	 -ці	 -ця	 -ців	 -цю, -цеві	 -цям	 -ець	 -ці	 -цем	 -цями	на/в -ці, -цю	на/в -цях	 -цю	 -ці	
o	S1/m	 -	 -і	 -а	 -ів	 -у, -еві	 -ам	 -	 -і	 -ем	 -ами	на/в -і, -у	на/в -ах	 -у	 -і	
o	S1/m	 -ь	 -і	 -я	 -ів	 -ю, -еві	 -ям	 -ь	 -і	 -ем	 -ями	на/в -і, -ю	на/в -ях	 -ю	 -і	
o	S1/m	 -іт	 -ьоти	 -ьоту	 -ьотів	 -ьоту, -ьотові	 -ьотам	 -іт	 -ьоти	 -ьотом	 -ьотами	на/в -ьоті	на/в -ьотах	 -ьоте	 -ьоти	
o	S1/f	 -	 -і	 -і	 -ей	 -і	 -ам	 -	 -і	 -жю	 -ами	на/в -і	на/в -ах	 -е	 -і	
o	S1/m	 -	 -и	 -у	 -ів	 -у, -ові	 -ам	 -	 -и	 -ом	 -ами	на/в -у	на/в -ах	 -е	 -и	
o	S1/n	 -е	 -а	 -а	 -	 -у	 -ам	 -е	 -а	 -ем	 -ами	на/в -і, -у	на/в -ах	 -е	 -а	
o	S1/f	 -ола	 -оли	 -оли	 -іл	 -олі	 -олам	 -олу	 -оли	 -олою	 -олами	на/в -олі	на/в -олах	 -оло	 -оли	
o	S1/ma	 -а	 -и	 -и	 -	 -і	 -ам	 -у	 -	 -ою	 -ами	на/в -і	на/в -ах	 -о	 -и	
